name,specialties,city,experience,fee,photoUrl,rating,about,isAvailableForCallNow
Dr. Nasrullah Langove,"Neuro Surgeon, Neurologist",Quetta,12.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Dr. Nasrullah Langove is a dedicated professional with a passion for patient care.,False
Prof. Dr. Aisha Siddiqa,"Gynecologist",Quetta,32.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,95.0,Dr. Prof. Dr. Aisha Siddiqa is a dedicated professional with a passion for patient care.,False
Prof. Dr. Uzma Sohail,"Gynecologist, Gynecologist",Quetta,27.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Prof. Dr. Uzma Sohail is a dedicated professional with a passion for patient care.,True
Prof. Dr. Rohana Salam,"Gynecologist",Quetta,22.0,3000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Prof. Dr. Rohana Salam is a dedicated professional with a passion for patient care.,False
Prof. Dr. Najma Ghaffar,"Gynecologist, Radiologist",Quetta,20.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Prof. Dr. Najma Ghaffar is a dedicated professional with a passion for patient care.,False
Dr. Zaib Un Nisa Jogazai,"Gynecologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,92.0,Dr. Dr. Zaib Un Nisa Jogazai is a dedicated professional with a passion for patient care.,False
Dr. Rukhsana,"Gynecologist",Quetta,7.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Rukhsana is a dedicated professional with a passion for patient care.,False
Dr. Nabila Naz,"Gynecologist",Quetta,10.0,600.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Dr. Nabila Naz is a dedicated professional with a passion for patient care.,False
Dr. Rizwana Naz,"Gynecologist",Quetta,10.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Rizwana Naz is a dedicated professional with a passion for patient care.,False
Dr. Kalsoom Noor,"Gynecologist",Quetta,3.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Kalsoom Noor is a dedicated professional with a passion for patient care.,False
Dr. Bareera Sadaf,"Gynecologist",Quetta,6.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Dr. Bareera Sadaf is a dedicated professional with a passion for patient care.,False
Dr. Salma Khudaidad,"Gynecologist",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Salma Khudaidad is a dedicated professional with a passion for patient care.,False
Dr. Zargai Kakar,"Gynecologist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Zargai Kakar is a dedicated professional with a passion for patient care.,True
Dr. Naimat Ullah Tareen,"Urologist, Sexologist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Dr. Naimat Ullah Tareen is a dedicated professional with a passion for patient care.,False
Dr. Asad Tareen,"Urologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Asad Tareen is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Hayat Kakar,"Urologist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Asst. Prof. Dr. Hayat Kakar is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Shoukat Ali,"Urologist",Quetta,6.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Shoukat Ali is a dedicated professional with a passion for patient care.,False
Dr. Ahmed Ullah,"Urologist",Quetta,5.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Dr. Ahmed Ullah is a dedicated professional with a passion for patient care.,True
Dr. Rashid Ali Baloch,"Endourologist, Urologist",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Rashid Ali Baloch is a dedicated professional with a passion for patient care.,False
Dr. Hafeez Ullah,"Urologist",Quetta,2.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Hafeez Ullah is a dedicated professional with a passion for patient care.,False
Dr. Muhammad Anwar Jan,"Urologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Dr. Muhammad Anwar Jan is a dedicated professional with a passion for patient care.,True
