HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Contact Kot Addu Medical & Ct Scan Centre Kot Addu,Muzaffar-Garh,Kot Addu,"Contact Kot Addu Medical & Ct Scan Centre Kot Addu, New Zain Plaza, Near Thq Hospital Kot Addu, Kot Addu, Muzaffar Garh",-,0333 8001532
Dr. Mohsin Ali Dehraj Dental Clinic,Nawabshah,Masjid Road,"Dr. Mohsin Ali Dehraj Dental Clinic, Near Arif Laboratory Jamia Masjid Road Nawabshah, Masjid Road, Nawabshah",1,3332750873
Nowshera Clinical Laboratory,Nowshera,Jan Bakers And Confectioners,"Nowshera Clinical Laboratory, Saddar Cavalary Road, Jan Bakers And Confectioners, Nowshera",2,3335042588
National Care Hospital Okara.,Okara,,"National Care Hospital Okara., Faisalabad Road Near Khan Colony, 0, Okara",2,042-32591432
Hassan Hospital,Okara,Faisalabad Road,"Hassan Hospital, Near Pso Petrol Pump, Faisalabad Road, Okara",2,3351229898
Sharif Surgimed Hospital,Okara,Okara,"Sharif Surgimed Hospital, Faisalabad Road, Okara, Okara",3,042-32591432
Muaz Surgical Hospital,Okara,Okara,"Muaz Surgical Hospital, Bangla Gogera, Okara-Faisalabad Road, Okara, Okara",2,3494223227
Dr Danish Neurology Clinic & Neuro-Diagnostic Center,Peshawar,0,"Dr Danish Neurology Clinic & Neuro-Diagnostic Center, Clinic No - 107 ; First Floor , Deans Medical Complex, In Front Of Emergency Gate Hayatabad Medical Complex , Sector N-4, Hayatabaad, Peshawar",1,3119041540
Dr Nadeemullah Ultrasound Hospital,Peshawar,0,"Dr Nadeemullah Ultrasound Hospital, Ptcl Colony Peshawar, Khyber Pakhtunkhwa, Peshawar",-,919211430
Al-Shifa Laboratory & Clinic,Peshawar,0,"Al-Shifa Laboratory & Clinic, Arif Plazza, Taango Adda, Pawaka Stop, University Town, Peshawar",1,042-32591432
