HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Hashmani Lab Hospital,Karachi,0,"Hashmani Lab Hospital, Shop # 2&3 Zulekha Comforts Main Shaheed E Millat Road Block 3 Cp & Berar, Millat Road, Karachi",-,3233338403
Inam Clinic,Karachi,0,"Inam Clinic, Noear Aku Lab, Orangi Town No 5, Orangi Town, Karachi",-,3336788260
Karachi Laboratory Diagnostic Centre (Shaheed-E-Millat),Karachi,0,"Karachi Laboratory Diagnostic Centre (Shaheed-E-Millat), Shaheed-E-Millat Road, Jamshed Town, Karachi",1,--
Karachi Medical & Diagnostic Center,Karachi,0,"Karachi Medical & Diagnostic Center, Ladies Jail Road, Larkana, Ladies Jail Road, Karachi",-,3332412484
Noor Homeo Clinic,Karachi,0,"Noor Homeo Clinic, Bilal Bazar, Near A One Laboratory (Aziz Hardware) Bilal,, Korangi, Karachi",1,3121247892
Pioneer Medical And Diagnostic Center,Karachi,0,"Pioneer Medical And Diagnostic Center, Block 8, Gul Housing Society, Gulistan E Jauher, Karachi",-,3351029205
Reliance Diagnostics Laboratory And Clinics,Karachi,0,"Reliance Diagnostics Laboratory And Clinics, 18C, 26Th Street, Tauheed Commercial Area, Dha Phase 5, Karachi",-,(021) 35361777
Samreens Ultrasound Clinic,Karachi,0,"Samreens Ultrasound Clinic, 70-A, Adjacent To French Consulate, 9 Muhammad Ali Bogra Rd, Bath Island, Karachi, Karachi",1,3432506438
The Speech Map Hospital,Karachi,0,"The Speech Map Hospital, New Ad Mart Above Agha Khan Lab Near Checkpost 6 Malir Cantt, Malir Cantt, Karachi",-,3344943459
Arif Memorial Speciality Clinics And Diagnostic Center,Kasur,Tariq Colony,"Arif Memorial Speciality Clinics And Diagnostic Center, Food Street, Tariq Colony, Kasur",16,3078881400
Testing123 Hospital,Kharian,Civil Lines,"Testing123 Hospital, Test, , Civil Lines, Kharian",-,3174141202
Advance Diagnostic Imaging Laboratory & Blood Bank Khuzdar Hospital,Khuzdar,Langoveabad,"Advance Diagnostic Imaging Laboratory & Blood Bank Khuzdar Hospital, Sadabahar Market Opposite Teaching Hospital, Langoveabad, Khuzdar",1,3111222398
Bio Medical Lab Hospital,Lahore,Allama Iqbal Town,"Bio Medical Lab Hospital, 23 Gulshan Block, Allama Iqbal Town, Lahore",1,(042) 37805024
Speech Production Lab Hospital,Lahore,Allama Iqbal Town,"Speech Production Lab Hospital, 10 Ravi Block, Allama Iqbal Town, Lahore",-,3007951866
Chughtai Medical Center Askari 11,Lahore,Askari 11,"Chughtai Medical Center Askari 11, Chughtai Lab Shop No.1, Bedian Rd, Beside Bread & Beyond, Sector A Dha Phase 6, Askari 11, Lahore",3,9.23458E+11
Doctors Hospital And Diagnostic Center,Lahore,Bankers Co Operative Housing Society,"Doctors Hospital And Diagnostic Center, Lrr Entrance Rd, Block B, Bankers Co-Operative Housing Society, Lahore",-,4232591427
Ahmed Med-Surgical Center,Lahore,Cannt,"Ahmed Med-Surgical Center, Sagar Road, Sadar Bazar, Near Madina Masjid Talab Wali, Cannt, Lahore",1,3228401956
Noor Begum Memorial Ccinic & Ultrasound Center,Lahore,Cantt,"Noor Begum Memorial Ccinic & Ultrasound Center, 50-D, Al-Faisal Town, Cantt, Lahore",1,(042) 36633558
Sardar Medical And Diagnostic Center,Lahore,Daroghawala,"Sardar Medical And Diagnostic Center, H9Qx+P7C, Unnamed Road, Darogha Wala, Daroghawala, Lahore",-,0
Doctors Hospital Lab And Medical Centre,Lahore,Dha Kamahan Exit,"Doctors Hospital Lab And Medical Centre, Plaza 144/1-3, Bchs. Off Lahore Ring Road, Dha / Kamahan Exit, Lahore",-,4232591427
Doctors Diagnostic Lab And Consultants Hospital,Lahore,Dha Defence,"Doctors Diagnostic Lab And Consultants Hospital, 115-G, Phase 1, Dha Defence, Lahore", ,4235690950
Human Body Scan Center,Lahore,Dha Defence,"Human Body Scan Center, 46-Kcommercial Area, Dha Defence, Lahore",-,042-35749951-53
Hameed Lateef Labortary Hospital,Lahore,Dha Phase 1,"Hameed Lateef Labortary Hospital, Statelife Housing Society Phase 1 F Block Commercial Area, Dha Phase 1, Lahore",1,3111222398
Aesthetics Lab By Tibbi Hospital,Lahore,Dha Phase 3,"Aesthetics Lab By Tibbi Hospital, 147, Cca, Sector Y, Dha Phase 3, Lahore",1,3111184224
Chughtai Medical Centre / Lab,Lahore,Dha Phase 6,"Chughtai Medical Centre / Lab, 38 Main Boulevard, Dha Phase 6, Dha Phase 6, Lahore",1,3111456789
Bokhari Labs Allergy Center,Lahore,Faisal Town,"Bokhari Labs Allergy Center, 538 A Maulana Shaukat Ali Road, Faisal Town, Lahore",1,3219458322
Clinlab Hospital,Lahore,Faisal Town,"Clinlab Hospital, 517A Ln, Block A, Faisal Town, Lahore",1,3220000704
Innova Labs And Diagnostics Hospital,Lahore,Faisal Town,"Innova Labs And Diagnostics Hospital, 882, Block C Faisal Town, Lahore, Punjab, Faisal Town, Lahore",1,3334707689
Al-Nasar Lab And Diagnostic Centre,Lahore,Faisal Town,"Al-Nasar Lab And Diagnostic Centre, Molana Shaukat Ali Road, Faisal Town, Lahore",1,4235170077
Clinlab Head Office Hospital,Lahore,Faisal Town,"Clinlab Head Office Hospital, 517, Block A Faisal Town, Faisal Town, Lahore",1,3220000704
Ibrahim Kidney Care And Infertility Center,Lahore,Fazlia Colony,"Ibrahim Kidney Care And Infertility Center, Shop No 6, Block No 9, Near Nishtar Lab And Shaukat Khanum, Fazlia Colony, Lahore",-,3378656565
Ghulab Devi Pgmi Hospital,Lahore,Ferozepur Road,"Ghulab Devi Pgmi Hospital, Near The Children Complex Hospital, Ferozepur Road, Lahore",-,3341166707
Gulab Devi Hospital,Lahore,Ferozepur Road,"Gulab Devi Hospital, Nishter Town, Ferozepur Road, Lahore",9,(042) 99230247
Test Hospital,Lahore,Garden Town,"Test Hospital, Shershah Block, Garden Town, Lahore",2,3111222398
Test Hospital 1,Lahore,Garden Town,"Test Hospital 1, Shersha Block, Garden Town, Lahore",2,3111222398
Test Extended Hospital,Lahore,Garden Town,"Test Extended Hospital, 4 Shere Shah Block, Garden Town, Lahore",-,3334742629
Chughtai Lab Gurumangat Branch Hospital,Lahore,Gulberg,"Chughtai Lab Gurumangat Branch Hospital, 101 Lda , Nisar Art Press, Guru Manghat Road, Gulberg, Lahore",-,0311 1456789
Lahore Clinic,Lahore,Gulberg,"Lahore Clinic, Gopal Nagar Near Gulab Devi Hospital, Gulberg, Lahore",-,4232591427
Punjab Radiology Centre,Lahore,Jail Road,"Punjab Radiology Centre, 1-A Gulberg V, Jail Road, Lahore",3,4235715231
Doctors Lab Hospital,Lahore,Jail Road,"Doctors Lab Hospital, Opposite Services Hospital Emergency, Jail Road, Lahore",1,3004887139
Raheela Lab Hospital,Lahore,Jail Road,"Raheela Lab Hospital, Behind Omar Hospital Jail Road Lahore, Jail Road, Lahore",3,3214271415
Lahore Radiology And Research Centre,Lahore,Jail Road,"Lahore Radiology And Research Centre, Shadman Ii, Jail Road, Lahore",1,3360470539
Test Hospital01,Lahore,Jail Road,"Test Hospital01, Jail Road, Jail Road, Lahore",-,3478451114
Dr Essa Lab & Diagnostic - Jail Road Hospital,Lahore,Jail Road,"Dr Essa Lab & Diagnostic - Jail Road Hospital, High Q Tower Main Jail Road, Jail Road, Lahore",1,3004140568
Heart Medical And Dental Hospital Lahore,Lahore,Jail Road,"Heart Medical And Dental Hospital Lahore, Maryam Diagnostic Centre 7-B, Shadman Ii, Beside Pic Hospital Parking, Adjacent Rahila Lab, Jail Road, Lahore., Jail Road, Lahore",-,3334223358
Heart Test Centre,Lahore,Jail Road,"Heart Test Centre, 89-E, G.O.R-I, Jail Road, Lahore",1,4237426998
Lifeline Laboratory And Diagnostic Centre,Lahore,Jail Road,"Lifeline Laboratory And Diagnostic Centre, 12-Shadman Ii Near P.I.C Hospital, Jail Road, Lahore",1,3334223358
Lincs Radiology Hospital,Lahore,Jail Road,"Lincs Radiology Hospital, 28 Shadman 2, Jail Road, Lahore",-,4235970621
Lahore Poly Clinic & Diagnostic Center,Lahore,Jinnah Colony,"Lahore Poly Clinic & Diagnostic Center, Dhor, Near Govt. Model High School, Kot Road, Kasur, Jinnah Colony, Lahore",-,0300 8127890
Al-Nissa Ultrasound And Breast Clinic,Lahore,Johar Town,"Al-Nissa Ultrasound And Breast Clinic, 3-New Campus, Near Firdous E Bareen Hall, Johar Town, Lahore",1,3233111138
Doctors Diagnostic Laboratory & Consultants Hospital,Lahore,Johar Town,"Doctors Diagnostic Laboratory & Consultants Hospital, 574, G-1, Johar Town, Lahore",-,4235690950
The Clinic,Lahore,Johar Town,"The Clinic, Doctors Diagnostic Lab And Consultants, Johar Town, Lahore",-,4235235878
Fatima Mukhtar Health Care Clinic And Laboratory,Lahore,Kot Lakhpat,"Fatima Mukhtar Health Care Clinic And Laboratory, 39 Main Peco Road Service Road Near Caltex Petrol Pump Pindi Stop Kot Lakhpat, Kot Lakhpat, Lahore",-,3111222398
Alfalah Diagnostic Center,Lahore,Kot Radha Kishan,"Alfalah Diagnostic Center, Main Changa Manga -Raiwind Road,Hospital Pully Stop, Near One $ Shop, Kot Radha Kishan, Lahore",1,0306 8830077
Chughtai Lab Walton Lahore Hospital,Lahore,Lahore,"Chughtai Lab Walton Lahore Hospital, Chughtai Medical Center, Walton Road, Beside Hamza Mart,, Lahore, Lahore",1,3400009074
Eye Specialist Clinic (Besides Umer Hospital),Lahore,Lahore,"Eye Specialist Clinic (Besides Umer Hospital), Near Islamabad Diagnostic Center, Jail Rd, Lahore, Lahore",1,3334442087
32 Smile Avenue Dental Clinic,Lahore,Lahore,"32 Smile Avenue Dental Clinic, Testing Address, Lahore, Lahore",2,3337168135
Fatima Heart Care Clinic,Lahore,Lahore Cantt,"Fatima Heart Care Clinic, Shop No 1, Sagar Road Near Madina Masjid Talab Wali, Saddar Bazar, Cantt, Lahore Cantt, Lahore",-,4238900939
Abid Clinic,Lahore,Misri Shah,"Abid Clinic, Opp To Chugtai Lab, Misri Shah, Lahore",1,3317976340
Kiran Gynae Clinic And Ultrasound,Lahore,Model Town,"Kiran Gynae Clinic And Ultrasound, Plot No 335,Block 5, Sector 13 B1, Near Barkat Chowk, Model Town, Lahore",1,4235154444
Arshad Ultrasound Clinic,Lahore,Model Town,"Arshad Ultrasound Clinic, Shop No 22, Saleem Arcade, Ground Floor, Q Block, Model Town, Lahore",1,3174668202
Gastrointestinal & Liver Wellness Clinic,Lahore,Model Town,"Gastrointestinal & Liver Wellness Clinic, 128 B , Model Town, Model Town, Lahore",-,0321 4340670
Omair Diagnostic Center,Lahore,Near Lahore General Hospital,"Omair Diagnostic Center, Ferozpur Road, Near Lahore General Hospital, Lahore",-,4232591427
The Fairway Clinic,Lahore,Near Raiwind Road,"The Fairway Clinic, 112-B, Opf Society Labore, Lda Avenue, Near Raiwind Road, Lahore",5,3095990667
Gs Polyclinic & Al-Nasar Lab,Lahore,Park View,"Gs Polyclinic & Al-Nasar Lab, Barki Rd, Opposite Paragon City Main Boulevard, Block D Chs, Park View, Lahore",1,3361442393
Centre For Clinical Psychology (Old Building),Lahore,Punjab,"Centre For Clinical Psychology (Old Building), Quaid-I-Azam Campus, Punjab, Lahore",1,4299231145
Sharif Poly Clinic & Lab,Lahore,Raiwind Road,"Sharif Poly Clinic & Lab, Railway Colony Raiwind, Raiwind Road, Lahore",1,4235392589
Dr Farha Clinic (Faisalabad),Lahore,Raja Road,"Dr Farha Clinic (Faisalabad), 33 G, Gulistan Colony, No1, Faisalabad,, Raja Road, Lahore",1,3111222398
City Lahore Lab & Diagnostic Center And Doctor Family Clinic,Lahore,Rehmanpura Colony,"City Lahore Lab & Diagnostic Center And Doctor Family Clinic, 297-F Chowk Link, Wahdat Rd, Rehmanpura Colony, Lahore",1,4237420949
"Fatima Mukhtar Health Care Clinic And Laboratory ,",Lahore,Sabzazar,"Fatima Mukhtar Health Care Clinic And Laboratory ,, 4 Sabzazar Rd Sabzazar Block B Sabzazar Housing Scheme Phase 1, Sabzazar, Lahore",-,3111222398
Dr. Essa Laboratory & Diagnostic Centre,Lahore,Sector T Phase 2 Dha,"Dr. Essa Laboratory & Diagnostic Centre, Plot 91, Lalik Chowk, Sector T Phase 2 Dha, Sector T Phase 2 Dha, Lahore",1,3305444401
Alpha Diagnostic Center,Lahore,Shadbagh,"Alpha Diagnostic Center, Omer Din Road, Near Jawa Broast Chowk Nakhuda, Wassan Pura Misri Shah, Shadbagh, Lahore",8,042-32591427
Chughtai Lab And Clinic,Lahore,Shadbagh,"Chughtai Lab And Clinic, Akbar Road Kachupura, Near Nakhuda Chowkre, Shadbagh, Lahore",-,0311 1456789
Suhail Oculab Hospital,Lahore,Shadman 1,"Suhail Oculab Hospital, 99, Anwar Tower, Shadman 1, Lahore",1,3008400738
Doctors Clinical Care,Lahore,Shadman 1,"Doctors Clinical Care, Shadman 1, Shadman 1, Lahore",-,3214167291
Life Line Heart And Medical Centre,Lahore,Shadman 1,"Life Line Heart And Medical Centre, Parking, Life Line Laboratory And Diagnostic Centre 12 Shadman 2, 2Nd Left Behind Kfc, Near Main Gate Pic Hospital, Jail Rd, Shadman 1, Lahore",1,3334223358
Maryam Diagnostic Center,Lahore,Shadman 1,"Maryam Diagnostic Center, 1-B Shadman Ii, Behind Omar Hospital Near (Punjab Institute Of Cardiology Hospital - Pic), Lahore, Shadman 1, Lahore",4,4235970703
Biotest Clinic,Lahore,Shadman 1,"Biotest Clinic, Plot 681, Main Boulevard, Shadman 1, Lahore",1,3009484655
Fatima Memorial Hospital (Nt Scan - Fatal Medicine),Lahore,Shadman 1,"Fatima Memorial Hospital (Nt Scan - Fatal Medicine), Shadman, Shadman 1, Lahore",-,3344210567
Gene Tech Lab Hospital,Lahore,Shadman 1,"Gene Tech Lab Hospital, 146/1 Jail Road, Shadman 1, Lahore",1,4237420116
Rahila Laboratory Hospital,Lahore,Shadman 1,"Rahila Laboratory Hospital, Near Punjab Institute Of Mental Health, Shadman 1, Lahore",1,3219431788
Ali Labs And Examination Center.,Lahore,Thokar Niaz Baig,"Ali Labs And Examination Center., 20- Abdul Sattar Edhi Road, Excise & Taxation Society, Thokar Niaz Baig, Lahore",2,3336993441
Chughtai Lab . Hospital,Lahore,Thokar Niaz Baig,"Chughtai Lab . Hospital, Opposite Daewoo Bus Stand Thokar Niaz Baig, Thokar Niaz Baig, Lahore",-,3354839629
Hameed Latif Hospital Laboratories,Lahore,Thokar Niaz Baig,"Hameed Latif Hospital Laboratories, 1C, Judicial Colony, Near Yasir Broast, Block C, Main Raiwind Rd, Thokar Niaz Baig, Lahore",1,3024292085
Carex Hospital & Carex Lab,Lahore,Township,"Carex Hospital & Carex Lab, B1, 239-7, Main Al-Madina Road, Township, Lahore",-,0300 9460790
Al Afzal Medical Centre And Indus Lab,Lahore,Township,"Al Afzal Medical Centre And Indus Lab, Main Peco Road, Opposite Gate 2, Sector A1, Township, Lahore",1,3341974295
Iqra Naseer Home Clinic,Lahore,Upper Mall,"Iqra Naseer Home Clinic, House # 42-A, 28 Near Bashir Bakhtyar Labours Hall, Upper Mall, Lahore",-,3234336624
Test Hospital 22,Lahore,Usman Road,"Test Hospital 22, Shersha Block, Usman Road, Lahore",-,3111222398
Rehab Max Physio & Medicare Clinic,Lahore,Walton,"Rehab Max Physio & Medicare Clinic, Near Chugtai Laboratory Opposite To Toyota Cantt Motors, Walton, Lahore",-,3000440013
Anjum Diagnostic Center,Lahore,Wapda Town Extension,"Anjum Diagnostic Center, Block # E1, House # 80, Wapda Town Extension, Lahore",7,0324 4444153
The Radiology Clinic,Lahore,Wapda Town Extension,"The Radiology Clinic, Block B4, Wapda Town Extension, Lahore",1,4235187005
Apdc Anjum Polyclinic And Diagnostic Center,Lahore,Wapda Town Phase 1,"Apdc Anjum Polyclinic And Diagnostic Center, House No.80 Block E1, Wapda Town Phase 1, Lahore",3,0321 9471977
Irfan Hussain Medical Centre,Larkana,Jail Road,"Irfan Hussain Medical Centre, Near Amber X-Ray, Jail Road, Larkana",2,0333 7568505
Tayyaba Medical Center,Layyah,Chowk Azam,"Tayyaba Medical Center, X668+Mq3 Siddique Akbar Town, Faisalabad Rd, Chowk Azam, Layyah",-,3111222398
Medicare Diagnostic Lab & Polyclinic,Layyah,Link Road Opposite To Dhq,"Medicare Diagnostic Lab & Polyclinic, Link Road, Link Road, Opposite To Dhq, Layyah",-,0308 2184046
Zahid Diagnostic Center,Lodhran,Bahawalpur Road,"Zahid Diagnostic Center, Near Al-Khidmat Lab, Opposite Family Hospital, Bahawalpur Road, Lodhran",1,3333737087
Rehman Hospital And Ultrasound Centre,Lodhran,Lodhran,"Rehman Hospital And Ultrasound Centre, Opposite General Bus Stop, Lodhran, Lodhran",1,0334 6909192
Mubarak Diagnostic Center/Mri X-Ray & Lab,Mansehra,Opposite King Abdullaha Teaching Hospital,"Mubarak Diagnostic Center/Mri X-Ray & Lab, Waleed Plaza Upper Chinnai Beside King Abdullah Teaching Hospital, Opposite King Abdullaha Teaching Hospital, Mansehra",-,997540324
Bagh Homeo Clinic,Mansehra,Shergarh,"Bagh Homeo Clinic, Chowk Shergarh Road Jalalabad Oghi City Khyber Pakhtunkhwa, Shergarh, Mansehra",1,3439527789
Doctors Plaza Hospital,Mirpur,New Town,"Doctors Plaza Hospital, The Doctors Plaza Diagnostic Center & Consultant Clinic, New Town, Mirpur",-,3139829998
Faisalabad Cardiology Hospital Laboratory,Faisalabad,Civil Lines,"Faisalabad Cardiology Hospital Laboratory, Faisalabad Institute Of Cardiology Civil Lines, , Civil Lines, Faisalabad",1,3044790352
Hilal E Ahmer Hospital,Faisalabad,Civil Lines,"Hilal E Ahmer Hospital, University Road, Civil Lines, Faisalabad",5,041-9201475-76
Atia Medicare Hospital,Faisalabad,Civil Lines,"Atia Medicare Hospital, Hilal Rd, Shahzad Colony Burhan Mohalla, , Civil Lines, Faisalabad",-,3338526668
Faisalabad Diabetic Center,Faisalabad,Civil Lines,"Faisalabad Diabetic Center, 328-A, , Civil Lines, Faisalabad",1,0311 1222398
Doctors Medical And Diagnostic Complex Hospital,Faisalabad,Sargodha Rd,"Doctors Medical And Diagnostic Complex Hospital, Sargodha Road Lasani Pulli Shadman Town, - Sargodha Rd, Faisalabad",3,3454992889
Zain Medicare Hospital,Faisalabad,Sargodha Rd,"Zain Medicare Hospital, Madina Chowk, Chak 07, - Sargodha Rd, Faisalabad",1,042-32591432
Dr. Ayesha Clinic,Faisalabad,,"Dr. Ayesha Clinic, 470 L Block Wapda City, 0, Faisalabad",1,3364353131
Do Burj Plaza Hospital,Faisalabad,1 Jaranwala Rd Kohinoor City Faisalabad Punjab,"Do Burj Plaza Hospital, Jaranwala Road, 1 Jaranwala Rd, Kohinoor City Faisalabad, Punjab, Faisalabad",-,0321 8061010
Irfan Medical City Hospital,Faisalabad,569 B People S Colony,"Irfan Medical City Hospital, Salimi Chowk, Stiyana Road, 569/B People’S Colony, Faisalabad",5,(041) 8724179
Doctors Specialist Center,Faisalabad,Abdullahpur Square,"Doctors Specialist Center, Behind Amtex Water Fall, Abdullahpur Square, Faisalabad",4,418544415
Downtown Dental Practice Hospital,Faisalabad,Afghanabad,"Downtown Dental Practice Hospital, Afghanabad Rd, Afghanabad, Afghanabad, Faisalabad",1,0322 5212056
Amna Jamal Eye Center,Faisalabad,Afghanabad,"Amna Jamal Eye Center, Tariq Rd, Afghanabad, Faisalabad",1,0300 6658958
Maqsooda Ziaa Hospital,Faisalabad,Afshan Colony,"Maqsooda Ziaa Hospital, Main Sargodha Rd, Near Allied Morre, Opposite Crescent Textile Mills, Afshan Colony, Afshan Colony, Faisalabad",2,4187851367
Naila Madical Center,Faisalabad,Airport Road,"Naila Madical Center, Sarhala Rd, Chak 66 Jb Dhandrah, Airport Road, Faisalabad",1,3137252816
Human Care Physiotherapy And Rehab Center,Faisalabad,Akbarabad,"Human Care Physiotherapy And Rehab Center, Doctors Diagnostic Centre,Masjid Ismail Road, Akbarabad, Faisalabad",-,3410848119
Rabia Khalid Hospital,Faisalabad,Al Masoom Town,"Rabia Khalid Hospital, House# 96 ,Street #3, Al Masoom Town, Faisalabad",-,3218335161
Khursheed Hussain Clinic,Faisalabad,Ali Housing Society,"Khursheed Hussain Clinic, Ali Housing Society Jhang Road, Ali Housing Society, Faisalabad",1,3111222398
Babar Allied Clinic,Faisalabad,Allama Iqbal Colony,"Babar Allied Clinic, Near Imam Ground Block D Allama Iqbal Colony Bargah, Allama Iqbal Colony, Faisalabad",1,3336558525
Babar Allied Clinic (New),Faisalabad,Allama Iqbal Colony,"Babar Allied Clinic (New), 604 L-Block Near Imam Bargah, Allama Iqbal Colony, Faisalabad",1,3144248080
Healthzone Medicare Hospital,Faisalabad,Amin Town,"Healthzone Medicare Hospital, Main Society Road,Amin Town, Amin Town, Faisalabad",1,3111222398
Dr. Waris Clinic,Faisalabad,Aminabad,"Dr. Waris Clinic, Novelty Pull, Aminabad, Faisalabad",-,3064891046
Anmol Hospital,Faisalabad,Ayub Colony,"Anmol Hospital, P 591 Street Number 4, Ayub Colony, Faisalabad",2,041 2656412
Mahfooz Clinic & Kidney Care Center,Faisalabad,Babar Chock,"Mahfooz Clinic & Kidney Care Center, Address:452/A Peoples Colony 2, Babar Chock, Faisalabad",-,3206565755
Dr Abdul Shakoor Clinic,Faisalabad,Band Road,"Dr Abdul Shakoor Clinic, 64 C Gulfishan Colony, Band Road, Faisalabad",1,3340177175
Hajra Kareem Hospital,Faisalabad,Batala Colony,"Hajra Kareem Hospital, 186-B, Main Blvd, Batala Colony, Faisalabad",2,418500586
Dr Teeth Dental Clinic,Faisalabad,Batala Colony,"Dr Teeth Dental Clinic, Batala Colony, Batala Colony, Faisalabad",1,3216739504
Aqsa Hospital,Faisalabad,Batala Colony,"Aqsa Hospital, Batala Colony, Batala Colony, Faisalabad",-,3086922600
Abdullah Trust Hospital,Faisalabad,Bhakkar Mandi Road Liaquatabad No2,"Abdullah Trust Hospital, Street # 6, Near Ubl Bank, Bhakkar Mandi Road, Liaquatabad No.2, Faisalabad",5,3202659672
Bushra Medicare Hospital,Faisalabad,Bilal Street Main 204 Chak Road,"Bushra Medicare Hospital, Khayabban Clonoy No.2,, Bilal Street Main 204, Chak Road,, Faisalabad",2,4238375255
Saleem Shad Clinic,Faisalabad,Canal Garden,"Saleem Shad Clinic, House # 43, Street # 1, West Canal Road, Canal Garden, Faisalabad",1,3457979484
Ibrahim Specialist Clinic,Faisalabad,Canal Rd,"Ibrahim Specialist Clinic, West Canal Road , Kashmir Pul Underpss Near Ideal Bakers, Canal Rd, Faisalabad",2,3111222398
Recovery Healthcare Clinic,Faisalabad,Canal Rd,"Recovery Healthcare Clinic, Hassan Commercial Market, Canal Rd, Near City Cash And Carry, Canal Rd, Faisalabad",1,3045305336
Cmdc Hospital,Faisalabad,Canal Rd,"Cmdc Hospital, W Canal Rd, Near Kia Motors, Farooqabad Mansoorabad, Faisalabad, Canal Rd, Faisalabad",1,3001176644
Dr Abdul Shakoor Clinic Canal Road,Faisalabad,Canal Road,"Dr Abdul Shakoor Clinic Canal Road, Makkah Commercial Market Opposite Eden Garden, Canal Road, Faisalabad",1,3316606050
Islamabad Diagnostic Centre (Canal Road),Faisalabad,Canal Road,"Islamabad Diagnostic Centre (Canal Road), Green Mall Plaza, Saeed Colony-1, Gate-2, Canal Road, Faisalabad",1,3217699043
Pro Health Rehab And Medical Center,Faisalabad,Canal Road,"Pro Health Rehab And Medical Center, Kashmi Bridge, Canal Road, Faisalabad",2,3066706867
Doctor S Care Clinic.,Faisalabad,Canal Road,"Doctor S Care Clinic., Gut Wala Pull, Civic Center, Canal Road, Faisalabad",-,3416622620
Jinnah Clinic,Faisalabad,Canal Road,"Jinnah Clinic, Lower Canal Rd E, Block A Near Faisal Hospital, Canal Road, Faisalabad",-,418715527
Little Voices Rehabilitation Center,Faisalabad,Canal Road,"Little Voices Rehabilitation Center, House No. P 255, Street No. 10, Canal Garden,, Canal Road, Faisalabad",2,415476782
The Physio Clinic By Dr Rafia Saghi,Faisalabad,Canal Road,"The Physio Clinic By Dr Rafia Saghi, 77/E Block Model City 1 Fsd Canal Road, Canal Road, Faisalabad",1,3003046869
Sakeena Bashir Memorial Hospital,Faisalabad,Chak 5 Jb Kamalpur Sargodha Road Faisalabad,"Sakeena Bashir Memorial Hospital, Sargodha Road, Faisalabad, Chak # 5 J.B, Kamalpur, Sargodha Road Faisalabad, Faisalabad",2,3213415555
Super Medical Complex Hospital,Faisalabad,Chak Jhumra,"Super Medical Complex Hospital, Mochi Bazar Chamra Mandi, Chak Jhumra, Faisalabad",-,3040634437
Zahra Medics Hospital,Faisalabad,Chak Jhumra,"Zahra Medics Hospital, New Post Office Road, Near Nadra Office, Ghulam Rasool Colony, Jhumra Road, Jaranwala, Chak Jhumra, Faisalabad",2,418763549
Mind Healers Hospital,Faisalabad,Chandni Chowk,"Mind Healers Hospital, 374/C Chandani Chowk Gulam Abad, Chandni Chowk, Faisalabad",1,3098951873
Almeiraj Medicare Clinic,Faisalabad,Churmajra Mor,"Almeiraj Medicare Clinic, Ghulam Mohammadabad, Churmajra Mor, Faisalabad",1,3118652823
Faisalabad Medical University Hospital,Faisalabad,Crestex,"Faisalabad Medical University Hospital, Sargodha Road, Crestex, Faisalabad",-,419210080
Alnoor Medical Complex Hospital,Faisalabad,Dhobi Ghat,"Alnoor Medical Complex Hospital, Dhobi Ghat, Dhobi Ghat, Faisalabad",1,041-5388779
Skin Hair & Allergy Clinic,Faisalabad,Dijkot,"Skin Hair & Allergy Clinic, Dijkot Road, Mominabad Chok Block C, Dijkot, Faisalabad",-,412635302
Zeenat Hospital,Faisalabad,Dtype Colony,"Zeenat Hospital, Foji Chowk, Dtype Colony, Dtype Colony, Faisalabad",1,3207953240
The Canal H Hospital,Faisalabad,East Canal Road,"The Canal H Hospital, 3-W-D, East Canal Road, Near Treats Bakers, Faisalabad., East Canal Road, Faisalabad",3,3217805253
Abwa Executive Clinics,Faisalabad,East Canal Road,"Abwa Executive Clinics, Near Kashmir Underpass East Canal Road, East Canal Road, Faisalabad",1,3111222398
Faisal Hospital (Faisalabad ),Faisalabad,East Canal Road,"Faisal Hospital (Faisalabad ), New Building 544-A Peoples Colony No. 1 East Canal Road, East Canal Road, Faisalabad",1,3086889966
Pakistan Spine Care Centre,Faisalabad,East Canal Road,"Pakistan Spine Care Centre, Doctors Street, Al-Hamra Garden, East Canal Road Near Rainbow Bridge, East Canal Road, Faisalabad",-,3336694443
Health360 Hospital,Faisalabad,East W Canal Rd,"Health360 Hospital, Ground Floor Green Mall, East W Canal Rd, Faisalabad",-,042-32591427
Dr. Teeth Dental Care Hospital,Faisalabad,Eden Garden Road,"Dr. Teeth Dental Care Hospital, 3Rd Lane Makkah Commercial Market 208 Chak Road, Eden Garden Road, Faisalabad",1,0333 4271398
Aziz Fatimah Medical And Dental College Hospital,Faisalabad,Faisal Town,"Aziz Fatimah Medical And Dental College Hospital, W Canal Rd,, Faisal Town, Faisalabad",1,041 8752931-5
The University Of Faisalabad Hospital,Faisalabad,Faisal Town,"The University Of Faisalabad Hospital, West Canal Road, Faisal Town, Faisalabad",-,(041) 87509715
Dr Professor Tariq Rashid Hospital,Faisalabad,Faisalabad,"Dr Professor Tariq Rashid Hospital, 63 Main Road, Jinnah Colony, Faisalabad, Faisalabad",1,3007908714
Madina Maternity Hospital,Faisalabad,Faisalabad,"Madina Maternity Hospital, 588 B Peoples Colony 1 Near Al Fatah Sports Complex, Faisalabad, Faisalabad",2,3009663636
